IP:PORT, LOSS, DELAY
188.114.97.47:4233,0.00%,131 ms
162.159.192.159:8742,0.00%,131 ms
188.114.98.21:4233,0.00%,132 ms
188.114.98.144:8742,0.00%,133 ms
188.114.99.191:4233,0.00%,133 ms
188.114.98.95:8742,0.00%,133 ms
162.159.192.128:8742,0.00%,134 ms
188.114.97.79:8742,0.00%,134 ms
188.114.99.71:4233,0.00%,134 ms
162.159.192.242:4233,0.00%,134 ms
188.114.97.146:4233,0.00%,134 ms
188.114.97.163:4233,0.00%,134 ms
188.114.96.202:4233,0.00%,135 ms
188.114.98.201:8742,0.00%,135 ms
162.159.195.96:4233,0.00%,136 ms
162.159.195.251:8742,0.00%,137 ms
162.159.192.70:4233,0.00%,137 ms
162.159.195.39:4233,0.00%,137 ms
162.159.195.250:4233,0.00%,137 ms
162.159.195.214:8742,0.00%,137 ms
162.159.192.70:8742,0.00%,137 ms
162.159.195.228:4233,0.00%,137 ms
162.159.195.244:4233,0.00%,137 ms
162.159.195.244:8742,0.00%,137 ms
162.159.195.251:4233,0.00%,138 ms
162.159.192.199:4233,0.00%,138 ms
162.159.195.250:8742,0.00%,138 ms
162.159.192.242:8742,0.00%,138 ms
162.159.195.180:4233,0.00%,138 ms
162.159.192.52:4233,0.00%,138 ms
162.159.192.52:8742,0.00%,138 ms
162.159.192.204:8742,0.00%,139 ms
162.159.195.203:4233,0.00%,139 ms
162.159.192.19:8742,0.00%,139 ms
162.159.192.130:4233,0.00%,139 ms
162.159.192.204:4233,0.00%,139 ms
162.159.192.128:4233,0.00%,139 ms
162.159.195.228:8742,0.00%,139 ms
162.159.192.141:4233,0.00%,139 ms
162.159.192.13:4233,0.00%,139 ms
162.159.192.133:4233,0.00%,140 ms
162.159.192.130:8742,0.00%,140 ms
162.159.192.13:8742,0.00%,141 ms
162.159.195.40:4233,10.00%,206 ms
188.114.96.4:4233,10.00%,208 ms
188.114.96.157:4233,10.00%,208 ms
188.114.97.124:4233,10.00%,208 ms
162.159.195.50:4233,10.00%,209 ms
162.159.195.50:8742,10.00%,210 ms
188.114.96.53:4233,10.00%,210 ms
162.159.192.192:4233,10.00%,211 ms
162.159.195.40:8742,10.00%,211 ms
188.114.96.220:8742,10.00%,215 ms
188.114.96.251:8742,10.00%,215 ms
188.114.98.54:8742,10.00%,216 ms
188.114.96.4:8742,10.00%,218 ms
162.159.195.96:8742,10.00%,219 ms
188.114.97.146:8742,10.00%,220 ms
188.114.99.113:4233,10.00%,220 ms
